date,HML_ours,HML_csmar
2007-07-01,0.007977723528316452,0.013097
2007-08-01,-0.02026157957967377,0.001608
2007-09-01,0.058028146469677924,0.043838
2007-10-01,-0.02700523931346938,-0.03629
2007-11-01,0.010169529781873077,0.008438
2007-12-01,0.016232616409820308,0.008662
2008-01-01,-0.029726647261764876,-0.02444
2008-02-01,0.027618488279809762,0.027775
2008-03-01,-0.03715708659562275,-0.037009
2008-04-01,-0.03345531495803753,-0.02018
2008-05-01,0.02874524789843695,0.045009
2008-06-01,-0.015801138465728615,-0.015263
2008-07-01,-0.01810010338882065,0.002494
2008-08-01,0.023734502123591364,0.030025
2008-09-01,-0.0034544858928628533,0.038559
2008-10-01,-0.0141192789093601,0.030914
2008-11-01,-0.01574408740622603,-0.016304
2008-12-01,-0.03286544259176749,-0.03906
2009-01-01,-0.017028690076796263,-0.017948
2009-02-01,-0.018850937977179363,-0.017867
2009-03-01,-0.02045175052443987,-0.051336
2009-04-01,0.012503746063172283,0.014925
2009-05-01,-0.009279111210855687,0.003847
2009-06-01,-0.012463304473951477,-0.016677
2009-07-01,0.021454015261422127,0.021235
2009-08-01,-0.03961503934828399,-0.023972
2009-09-01,-0.020345454976456165,-0.016304
2009-10-01,-0.012113463551242154,-0.003578
2009-11-01,-0.010848785499024238,0.003528
2009-12-01,0.024325177243434512,0.025173
2010-01-01,-0.035493586748363046,-0.018919
2010-02-01,-0.022020668794859442,-0.019492
2010-03-01,-0.0009733470862684918,-0.005504
2010-04-01,-0.028717542348707735,-0.019223
2010-05-01,-0.011872059362716104,-0.002986
2010-06-01,0.01613602034797996,0.003928
2010-07-01,-0.02220375006874442,-0.026853
2010-08-01,-0.08357251620058684,-0.075616
2010-09-01,-0.045506324475654135,-0.044449
2010-10-01,0.01493600280345421,0.013824
2010-11-01,-0.04835414959570657,-0.03548
2010-12-01,0.02607251158751605,0.015333
2011-01-01,0.03833940329511894,0.040893
2011-02-01,-0.03930085236003451,-0.030126
2011-03-01,0.014180344059321028,0.008039
2011-04-01,-0.0015938099333819272,0.003979
2011-05-01,-0.011754015883288716,0.002114
2011-06-01,-0.011362031101606097,-0.016585
2011-07-01,-0.051031305003818,-0.044865
2011-08-01,-0.016497175704576435,-0.012194
2011-09-01,0.0212571828854307,0.036443
2011-10-01,0.028107412851696316,0.023869
2011-11-01,-0.024496383734405665,-0.014623
2011-12-01,0.07413519864811569,0.078564
2012-01-01,-0.011819413818620608,-0.007071
2012-02-01,-0.038506691460807735,-0.035422
2012-03-01,0.012957284199892224,0.011931
2012-04-01,-0.024078700105188103,-0.020842
2012-05-01,-0.024773391432753436,-0.02016
2012-06-01,0.011490447513249475,0.012482
2012-07-01,0.004513374346566623,0.008125
2012-08-01,-0.018394146800910116,-0.009528
2012-09-01,-0.025367946344667096,-0.020544
2012-10-01,0.012534094012458575,0.00764
2012-11-01,0.05123098294122065,0.049476
2012-12-01,0.004653862595460176,0.020988
2013-01-01,-0.009052440228784847,0.014323
2013-02-01,-0.010260675933620317,-0.013598
2013-03-01,-0.016998255414299432,-0.011906
2013-04-01,0.006173559646825063,0.011257
2013-05-01,-0.028752504066870382,-0.024026
2013-06-01,-0.0017257715822290853,0.00577
2013-07-01,-0.013416257054402119,0.002368
2013-08-01,-0.005768048563346867,0.000369
2013-09-01,0.012567219375398665,0.033868
2013-10-01,0.023740693793558053,0.020912
2013-11-01,-0.0034858387256577264,0.005128
2013-12-01,0.002697644181418676,0.003458
2014-01-01,0.0009527222307400525,0.019176
2014-02-01,0.002892776828583473,0.003771
2014-03-01,0.005230164475972465,0.00388
2014-04-01,-0.002441258161843622,-0.001654
2014-05-01,-0.011069385866802301,0.002149
2014-06-01,-0.0011842357526273082,-0.000557
2014-07-01,0.01013606672741349,0.01633
2014-08-01,-0.024819535637209306,-0.028451
2014-09-01,-0.027877878739573897,-0.021968
2014-10-01,0.007539251150473549,0.013511
2014-11-01,0.03915152144376292,0.048568
2014-12-01,0.1462151721514841,0.160514
2015-01-01,-0.06967299739737509,-0.082966
2015-02-01,-0.03421547406175841,-0.047362
2015-03-01,-0.023189837539564953,-0.04137
2015-04-01,0.0279664918968396,-0.000341
2015-05-01,-0.18293205713779737,-0.147872
2015-06-01,0.0730202012873567,0.08755
2015-07-01,0.025216416449256554,0.028091
2015-08-01,-0.0012177338513991026,0.010289
2015-09-01,-0.006861486617407438,-0.007356
2015-10-01,-0.08071303939701599,-0.085249
2015-11-01,-0.008422467604183019,-0.029977
2015-12-01,-0.04800340403520409,-0.030819
2016-01-01,0.04448106417072473,0.057358
2016-02-01,0.0021335918808363125,0.015814
2016-03-01,-0.05705051096627013,-0.061516
2016-04-01,0.0035425109226467928,0.001921
2016-05-01,-0.013467711115655758,0.003401
2016-06-01,-0.0164625702900724,-0.012338
2016-07-01,0.020968296305432413,0.038034
2016-08-01,0.0015430261314962213,0.007255
2016-09-01,0.0010276368386520594,-0.001498
2016-10-01,0.007947197558719508,0.005547
2016-11-01,0.02463188683738879,0.024051
2016-12-01,0.0006146970703506845,0.019535
2017-01-01,0.034514065106381206,0.036601
2017-02-01,0.003529716564633703,-0.000236
2017-03-01,0.009541399526917266,0.015728
2017-04-01,0.028743301710855644,0.034233
2017-05-01,0.04683805786463961,0.052539
2017-06-01,-0.016957382327998562,-0.013642
2017-07-01,0.032447375946767575,0.045625
2017-08-01,-0.006991052502954134,-0.012049
2017-09-01,-0.023074068812787115,-0.025053
2017-10-01,-0.011054316507834897,-0.008678
2017-11-01,0.025544691835741058,0.03421
2017-12-01,-0.008799910691104543,-0.005106
2018-01-01,0.05340353983429327,0.072668
2018-02-01,-0.01044849535059034,-0.019403
2018-03-01,-0.05066450053312903,-0.060303
2018-04-01,0.014373656003946167,0.014972
2018-05-01,-0.02376833129310936,-0.007871
2018-06-01,0.02538113074820081,0.029783
2018-07-01,0.0121249340796126,0.02951
2018-08-01,0.02600409381945029,0.02488
2018-09-01,0.019379532690287436,0.017119
2018-10-01,0.05206869819848177,0.054054
2018-11-01,-0.06358670174762653,-0.04861
2018-12-01,-0.0024156674377564594,0.006645
2019-01-01,-0.003092079173463186,0.01483
2019-02-01,-0.0766952906224323,-0.086775
2019-03-01,-0.052025820278966704,-0.051009
2019-04-01,-0.014234759981526183,0.007523
2019-05-01,-0.017793151262071368,0.007695
2019-06-01,-0.003475074501514616,-0.003842
2019-07-01,-0.004431332652793343,-0.003672
2019-08-01,-0.05904800667537456,-0.051803
2019-09-01,-0.0031716321927964886,0.004273
2019-10-01,-0.01227121705020842,-0.006449
2019-11-01,0.0026450882122777764,0.003215
2019-12-01,-0.010668397252713173,-0.014384
2020-01-01,-0.025134594794802047,-0.021366
2020-02-01,-0.03760756270557996,-0.023567
2020-03-01,-0.007609360900816228,0.010715
2020-04-01,-0.033990651190135585,-0.030742
2020-05-01,-0.03480079721076862,-0.018989
2020-06-01,-0.06132003057314017,-0.05018
2020-07-01,-0.0381612497808895,-0.034727
2020-08-01,-0.014475439987595956,-0.011956
2020-09-01,0.019489268750714266,0.012539
2020-10-01,-0.0021233184251039667,-0.007721
2020-11-01,0.03998267931406214,0.04616
2020-12-01,-0.06279945324442557,-0.051595
